Freq [GHz],S11 (dB),Phase
1,-0.388167054,2.779020282
1.0125,-0.403524954,2.767075639
1.025,-0.420677502,2.754618895
1.0375,-0.439830379,2.74159529
1.05,-0.461226547,2.727943559
1.0625,-0.485153542,2.713594821
1.075,-0.511952588,2.698471254
1.0875,-0.54203007,2.682484513
1.1,-0.575872047,2.665533825
1.1125,-0.614062704,2.647503691
1.125,-0.657308003,2.62826108
1.1375,-0.706466192,2.607652013
1.15,-0.762587496,2.585497349
1.1625,-0.826966173,2.561587588
1.175,-0.901209386,2.535676398
1.1875,-0.9873292,2.507472541
1.2,-1.087866637,2.476629701
1.2125,-1.206060699,2.44273363
1.225,-1.346081097,2.40528577
1.2375,-1.513352246,2.363682219
1.25,-1.715009511,2.317186415
1.2625,-1.960549402,2.264893074
1.275,-2.262767965,2.205679311
1.2875,-2.639133969,2.138135461
1.3,-3.113830581,2.060460127
1.3125,-3.720851288,1.970284084
1.325,-4.508816497,1.864334621
1.3375,-5.548714503,1.737701552
1.35,-6.946698171,1.582004031
1.3625,-8.86416249,1.380176485
1.375,-11.52796697,1.089562676
1.3875,-14.95721317,0.586740361
1.4,-16.68096184,-0.303915302
1.4125,-13.83326988,-1.085430992
1.425,-10.52666019,-1.504899666
1.4375,-8.074081487,-1.764481347
1.45,-6.304949345,-1.953425124
1.4625,-5.008543424,-2.103037037
1.475,-4.041186979,-2.226538585
1.4875,-3.307389518,-2.330788127
1.5,-2.742356904,-2.42001079
1.5125,-2.301184333,-2.497141457
1.525,-1.952208984,-2.564371601
1.5375,-1.672776607,-2.623404601
1.55,-1.446463388,-2.675594133
1.5625,-1.261213596,-2.722030197
1.575,-1.108071578,-2.763598305
1.5875,-0.980307465,-2.801022888
1.6,-0.872807511,-2.834900243
1.6125,-0.781644372,-2.865724054
1.625,-0.703770994,-2.893905347
1.6375,-0.636800303,-2.919788224
1.65,-0.578844998,-2.943662319
1.6625,-0.528399889,-2.965772707
1.675,-0.484254633,-2.986327828
1.6875,-0.445428407,-3.00550585
1.7,-0.41112055,-3.023459799
1.7125,-0.380672945,-3.040321717
1.725,-0.353541112,-3.056206049
1.7375,-0.329271815,-3.071212415
1.75,-0.307485574,-3.085427888
1.7625,-0.287862925,-3.098928876
1.775,-0.270133525,-3.11178268
1.7875,-0.254067484,-3.1240488
1.8,-0.2394684,-3.135780022
1.8125,-0.226167744,3.136161975
1.825,-0.2140203,3.125364614
1.8375,-0.202900447,3.114975611
1.85,-0.192699105,3.104961187
1.8625,-0.18332122,3.095290899
1.875,-0.174683683,3.085937233
1.8875,-0.166713589,3.076875254
1.9,-0.159346794,3.0680823
1.9125,-0.152526694,3.059537721
1.925,-0.146203204,3.051222651
1.9375,-0.140331887,3.043119811
1.95,-0.134873224,3.035213332
1.9625,-0.129791981,3.027488605
1.975,-0.125056679,3.019932145
1.9875,-0.12063913,3.012531474
2,-0.116514046,3.005275015
2.0125,-0.112658697,2.998152002
2.025,-0.109052617,2.991152392
2.0375,-0.105677348,2.984266796
2.05,-0.10251622,2.977486408
2.0625,-0.099554155,2.97080295
2.075,-0.0967775,2.964208614
2.0875,-0.094173883,2.957696016
2.1,-0.091732075,2.951258148
2.1125,-0.089441886,2.944888342
2.125,-0.08729406,2.93858023
2.1375,-0.085280189,2.932327709
2.15,-0.083392635,2.926124909
2.1625,-0.081624464,2.919966165
2.175,-0.079969385,2.913845988
2.1875,-0.078421697,2.907759036
2.2,-0.076976246,2.901700093
2.2125,-0.075628379,2.895664041
2.225,-0.074373917,2.889645836
2.2375,-0.073209117,2.883640489
2.25,-0.072130652,2.877643038
2.2625,-0.071135583,2.871648526
2.275,-0.070221349,2.86565198
2.2875,-0.069385744,2.859648385
2.3,-0.06862691,2.85363266
2.3125,-0.06794333,2.847599634
2.325,-0.067333822,2.841544017
2.3375,-0.066797536,2.835460373
2.35,-0.066333961,2.829343087
2.3625,-0.065942926,2.823186337
2.375,-0.065624613,2.816984055
2.3875,-0.06537957,2.81072989
2.4,-0.06520873,2.804417161
2.4125,-0.065113434,2.798038818
2.425,-0.06509546,2.79158738
2.4375,-0.065157064,2.785054881
2.45,-0.065301017,2.778432805
2.4625,-0.065530663,2.771712005
2.475,-0.065849982,2.764882624
2.4875,-0.066263662,2.757933994
2.5,-0.066777197,2.750854523
2.5125,-0.067396991,2.743631571
2.525,-0.068130488,2.736251295
2.5375,-0.068986331,2.72869848
2.55,-0.06997455,2.720956337
2.5625,-0.071106791,2.713006263
2.575,-0.072396591,2.704827563
2.5875,-0.073859719,2.69639712
2.6,-0.075514589,2.687688997
2.6125,-0.077382769,2.678673968
2.625,-0.079489621,2.669318949
2.6375,-0.081865088,2.659586307
2.65,-0.084544693,2.649433019
2.6625,-0.087570803,2.638809641
2.675,-0.09099424,2.627659032
2.6875,-0.094876364,2.61591476
2.7,-0.099291783,2.603499103
2.7125,-0.10433191,2.590320511
