Freq [GHz],S11 (dB),Phase
1,-0.000740578,-0.0334719
1.0475,-0.000803261,-0.035064485
1.095,-0.000868531,-0.036657451
1.1425,-0.000936347,-0.038250818
1.19,-0.001006666,-0.039844606
1.2375,-0.001079442,-0.041438834
1.285,-0.001154631,-0.043033524
1.3325,-0.001232184,-0.044628696
1.38,-0.001312055,-0.046224371
1.4275,-0.001394192,-0.04782057
1.475,-0.001478547,-0.049417315
1.5225,-0.001565067,-0.051014629
1.57,-0.0016537,-0.052612534
1.6175,-0.001744393,-0.054211052
1.665,-0.001837092,-0.055810208
1.7125,-0.001931743,-0.057410024
1.76,-0.002028289,-0.059010526
1.8075,-0.002126675,-0.060611738
1.855,-0.002226845,-0.062213684
1.9025,-0.002328742,-0.063816391
1.95,-0.002432309,-0.065419884
1.9975,-0.00253749,-0.067024189
2.045,-0.002644226,-0.068629335
2.0925,-0.002752461,-0.070235347
2.14,-0.002862137,-0.071842255
2.1875,-0.002973197,-0.073450087
2.235,-0.003085585,-0.075058871
2.2825,-0.003199245,-0.076668637
2.33,-0.003314119,-0.078279416
2.3775,-0.003430154,-0.079891238
2.425,-0.003547294,-0.081504134
2.4725,-0.003665485,-0.083118136
2.52,-0.003784675,-0.084733276
2.5675,-0.003904812,-0.086349587
2.615,-0.004025844,-0.087967104
2.6625,-0.004147723,-0.089585859
2.71,-0.004270399,-0.091205888
2.7575,-0.004393827,-0.092827227
2.805,-0.00451796,-0.09444991
2.8525,-0.004642755,-0.096073976
2.9,-0.00476817,-0.097699461
2.9475,-0.004894167,-0.099326403
2.995,-0.005020705,-0.100954841
3.0425,-0.005147751,-0.102584814
3.09,-0.00527527,-0.104216363
3.1375,-0.005403232,-0.105849527
3.185,-0.005531609,-0.107484349
3.2325,-0.005660374,-0.10912087
3.28,-0.005789504,-0.110759133
3.3275,-0.005918981,-0.112399182
3.375,-0.006048786,-0.114041061
3.4225,-0.006178906,-0.115684816
3.47,-0.006309331,-0.11733049
3.5175,-0.006440054,-0.118978132
3.565,-0.006571071,-0.120627789
3.6125,-0.006702384,-0.122279508
3.66,-0.006833995,-0.123933338
3.7075,-0.006965914,-0.125589329
3.755,-0.007098153,-0.127247532
3.8025,-0.00723073,-0.128907997
3.85,-0.007363664,-0.130570776
3.8975,-0.007496983,-0.132235923
3.945,-0.007630717,-0.133903491
3.9925,-0.007764902,-0.135573534
