Freq [GHz],s11(dB)
1,-0.000530231
1.06,-0.000596688
1.12,-0.000652563
1.18,-0.000699956
1.24,-0.000740498
1.3,-0.00077548
1.36,-0.000805934
1.42,-0.000832698
1.48,-0.000856464
1.54,-0.000877807
1.6,-0.000897213
1.66,-0.000915097
1.72,-0.000931822
1.78,-0.000947702
1.84,-0.00096302
1.9,-0.000978029
1.96,-0.000992959
2.02,-0.001008024
2.08,-0.001023421
2.14,-0.001039338
2.2,-0.00105595
2.26,-0.001073428
2.32,-0.001091936
2.38,-0.001111635
2.44,-0.001132679
2.5,-0.001155225
2.56,-0.001179425
2.62,-0.001205431
2.68,-0.001233394
2.74,-0.001263467
2.8,-0.001295804
2.86,-0.001330557
2.92,-0.001367883
2.98,-0.001407939
3.04,-0.001450884
3.1,-0.001496881
3.16,-0.001546093
3.22,-0.001598687
3.28,-0.001654833
3.34,-0.001714704
3.4,-0.001778477
3.46,-0.00184633
3.52,-0.001918448
3.58,-0.001995017
3.64,-0.002076228
3.7,-0.002162275
3.76,-0.002253358
3.82,-0.00234968
3.88,-0.002451447
3.94,-0.002558873
4,-0.002672173
4.06,-0.00279157
4.12,-0.002917289
4.18,-0.003049562
4.24,-0.003188626
4.3,-0.003334722
4.36,-0.003488098
4.42,-0.003649008
4.48,-0.003817709
4.54,-0.003994467
4.6,-0.004179553
4.66,-0.004373244
4.72,-0.004575825
4.78,-0.004787584
4.84,-0.00500882
4.9,-0.005239837
4.96,-0.005480947
5.02,-0.005732468
5.08,-0.005994728
5.14,-0.006268061
5.2,-0.00655281
5.26,-0.006849326
5.32,-0.007157969
5.38,-0.007479107
5.44,-0.007813119
5.5,-0.008160393
5.56,-0.008521324
5.62,-0.00889632
5.68,-0.009285799
5.74,-0.009690189
5.8,-0.010109927
5.86,-0.010545464
5.92,-0.010997262
5.98,-0.011465793
6.04,-0.011951542
6.1,-0.012455005
6.16,-0.012976692
6.22,-0.013517124
6.28,-0.014076834
6.34,-0.014656368
6.4,-0.015256285
