Freq [GHz],s11(dB)
1,-0.00168249
1.06,-0.001669728
1.12,-0.00165658
1.18,-0.001643106
1.24,-0.00162937
1.3,-0.001615441
1.36,-0.00160139
1.42,-0.001587292
1.48,-0.001573224
1.54,-0.001559269
1.6,-0.001545513
1.66,-0.001532043
1.72,-0.001518953
1.78,-0.00150634
1.84,-0.001494301
1.9,-0.001482942
1.96,-0.001472369
2.02,-0.001462693
2.08,-0.001454029
2.14,-0.001446495
2.2,-0.001440213
2.26,-0.00143531
2.32,-0.001431915
2.38,-0.001430161
2.44,-0.001430187
2.5,-0.001432134
2.56,-0.001436148
2.62,-0.001442378
2.68,-0.001450979
2.74,-0.001462107
2.8,-0.001475926
2.86,-0.001492601
2.92,-0.001512303
2.98,-0.001535206
3.04,-0.001561489
3.1,-0.001591336
3.16,-0.001624936
3.22,-0.001662479
3.28,-0.001704163
3.34,-0.00175019
3.4,-0.001800766
3.46,-0.001856101
3.52,-0.001916412
3.58,-0.001981918
3.64,-0.002052845
3.7,-0.002129423
3.76,-0.002211888
3.82,-0.00230048
3.88,-0.002395444
3.94,-0.002497032
4,-0.002605499
4.06,-0.002721108
4.12,-0.002844124
4.18,-0.002974821
4.24,-0.003113477
4.3,-0.003260376
4.36,-0.003415807
4.42,-0.003580067
4.48,-0.003753457
4.54,-0.003936284
4.6,-0.004128864
4.66,-0.004331515
4.72,-0.004544566
4.78,-0.004768349
4.84,-0.005003205
4.9,-0.00524948
4.96,-0.005507528
5.02,-0.00577771
5.08,-0.006060394
5.14,-0.006355954
5.2,-0.006664774
5.26,-0.006987243
5.32,-0.007323761
5.38,-0.007674731
5.44,-0.008040569
5.5,-0.008421697
5.56,-0.008818544
5.62,-0.00923155
5.68,-0.009661163
5.74,-0.010107839
5.8,-0.010572044
5.86,-0.011054253
5.92,-0.01155495
5.98,-0.012074629
6.04,-0.012613795
6.1,-0.013172962
6.16,-0.013752655
6.22,-0.014353408
6.28,-0.014975768
6.34,-0.015620292
6.4,-0.016287549
6.46,-0.016978119
6.52,-0.017692593
6.58,-0.018431576
6.64,-0.019195686
6.7,-0.019985552
6.76,-0.020801816
6.82,-0.021645135
6.88,-0.02251618
6.94,-0.023415634
7,-0.024344196
7.06,-0.025302581
7.12,-0.026291516
7.18,-0.027311749
7.24,-0.028364038
7.3,-0.029449162
7.36,-0.030567916
