tumor_rad [mm],Freq [GHz],S11(dB)
3.5,1,#VALUE!
3.5,1.06,-0.001248729
3.5,1.12,-0.001215789
3.5,1.18,-0.001181642
3.5,1.24,-0.001146385
3.5,1.3,-0.001110121
3.5,1.36,-0.001072956
3.5,1.42,-0.001035003
3.5,1.48,-0.000996379
3.5,1.54,-0.000957205
3.5,1.6,-0.000917609
3.5,1.66,-0.000877723
3.5,1.72,-0.000837682
3.5,1.78,-0.000797629
3.5,1.84,-0.00075771
3.5,1.9,-0.000718076
3.5,1.96,-0.000678883
3.5,2.02,-0.000640293
3.5,2.08,-0.000602471
3.5,2.14,-0.000565588
3.5,2.2,-0.000529818
3.5,2.26,-0.000495343
3.5,2.32,-0.000462346
3.5,2.38,-0.000431018
3.5,2.44,-0.000401553
3.5,2.5,-0.00037415
3.5,2.56,-0.000349013
3.5,2.62,-0.00032635
3.5,2.68,-0.000306375
3.5,2.74,-0.000289304
3.5,2.8,-0.000275361
3.5,2.86,-0.000264774
3.5,2.92,-0.000257772
3.5,2.98,-0.000254594
3.5,3.04,-0.00025548
3.5,3.1,-0.000260676
3.5,3.16,-0.000270432
3.5,3.22,-0.000285003
3.5,3.28,-0.000304649
3.5,3.34,-0.000329634
3.5,3.4,-0.000360227
3.5,3.46,-0.000396701
3.5,3.52,-0.000439334
3.5,3.58,-0.000488409
3.5,3.64,-0.000544213
3.5,3.7,-0.000607039
3.5,3.76,-0.000677183
3.5,3.82,-0.000754946
3.5,3.88,-0.000840635
3.5,3.94,-0.00093456
3.5,4,-0.001037036
3.5,4.06,-0.001148385
3.5,4.12,-0.00126893
3.5,4.18,-0.001399002
3.5,4.24,-0.001538936
3.5,4.3,-0.00168907
3.5,4.36,-0.00184975
3.5,4.42,-0.002021325
3.5,4.48,-0.002204149
3.5,4.54,-0.002398581
3.5,4.6,-0.002604986
3.5,4.66,-0.002823734
3.5,4.72,-0.0030552
3.5,4.78,-0.003299762
3.5,4.84,-0.003557808
3.5,4.9,-0.003829728
3.5,4.96,-0.004115917
3.5,5.02,-0.004416778
3.5,5.08,-0.004732718
3.5,5.14,-0.00506415
3.5,5.2,-0.005411492
3.5,5.26,-0.005775171
3.5,5.32,-0.006155616
3.5,5.38,-0.006553265
3.5,5.44,-0.00696856
3.5,5.5,-0.007401951
3.5,5.56,-0.007853894
3.5,5.62,-0.008324852
3.5,5.68,-0.008815293
3.5,5.74,-0.009325694
3.5,5.8,-0.009856537
3.5,5.86,-0.010408315
3.5,5.92,-0.010981523
3.5,5.98,-0.011576668
3.5,6.04,-0.012194263
3.5,6.1,-0.012834828
3.5,6.16,-0.013498892
3.5,6.22,-0.014186994
3.5,6.28,-0.014899679
3.5,6.34,-0.015637501
3.5,6.4,-0.016401026
3.5,6.46,-0.017190825
3.5,6.52,-0.018007481
3.5,6.58,-0.018851588
3.5,6.64,-0.019723748
3.5,6.7,-0.020624573
3.5,6.76,-0.021554688
3.5,6.82,-0.022514727
3.5,6.88,-0.023505336
3.5,6.94,-0.024527174
3.5,7,-0.025580911
3.5,7.06,-0.026667228
3.5,7.12,-0.027786822
3.5,7.18,-0.028940402
3.5,7.24,-0.030128689
3.5,7.3,-0.03135242
3.5,7.36,-0.032612348
3.5,7.42,-0.033909238
