Freq [GHz],s11(dB)
1,-0.001650945
1.06,-0.001635788
1.12,-0.001620113
1.18,-0.001603982
1.24,-0.001587462
1.3,-0.001570622
1.36,-0.001553534
1.42,-0.001536276
1.48,-0.001518926
1.54,-0.00150157
1.6,-0.001484294
1.66,-0.00146719
1.72,-0.00145035
1.78,-0.001433875
1.84,-0.001417866
1.9,-0.001402428
1.96,-0.001387671
2.02,-0.001373708
2.08,-0.001360656
2.14,-0.001348635
2.2,-0.001337771
2.26,-0.001328192
2.32,-0.00132003
2.38,-0.001313422
2.44,-0.001308507
2.5,-0.00130543
2.56,-0.00130434
2.62,-0.001305389
2.68,-0.001308732
2.74,-0.001314532
2.8,-0.001322952
2.86,-0.001334163
2.92,-0.001348336
2.98,-0.00136565
3.04,-0.001386286
3.1,-0.001410431
3.16,-0.001438276
3.22,-0.001470017
3.28,-0.001505852
3.34,-0.001545986
3.4,-0.001590629
3.46,-0.001639993
3.52,-0.001694299
3.58,-0.001753768
3.64,-0.00181863
3.7,-0.001889117
3.76,-0.001965468
3.82,-0.002047925
3.88,-0.002136738
3.94,-0.002232159
4,-0.002334449
4.06,-0.00244387
4.12,-0.002560693
4.18,-0.002685193
4.24,-0.00281765
4.3,-0.002958352
4.36,-0.00310759
4.42,-0.003265662
4.48,-0.003432873
4.54,-0.003609532
4.6,-0.003795957
4.66,-0.003992469
4.72,-0.004199397
4.78,-0.004417076
4.84,-0.004645849
4.9,-0.004886064
4.96,-0.005138077
5.02,-0.005402249
5.08,-0.00567895
5.14,-0.005968557
5.2,-0.006271453
5.26,-0.00658803
5.32,-0.006918686
5.38,-0.007263829
5.44,-0.007623873
5.5,-0.00799924
5.56,-0.008390362
5.62,-0.008797677
5.68,-0.009221633
5.74,-0.009662688
5.8,-0.010121305
5.86,-0.010597961
5.92,-0.011093138
5.98,-0.01160733
6.04,-0.012141041
6.1,-0.012694783
6.16,-0.013269079
6.22,-0.013864463
6.28,-0.014481479
6.34,-0.015120683
6.4,-0.01578264
6.46,-0.016467928
6.52,-0.017177137
6.58,-0.017910868
6.64,-0.018669734
6.7,-0.019454361
6.76,-0.020265389
6.82,-0.02110347
6.88,-0.021969269
6.94,-0.022863465
7,-0.023786754
7.06,-0.024739842
7.12,-0.025723454
7.18,-0.026738329
7.24,-0.02778522
7.3,-0.0288649
7.36,-0.029978155
7.42,-0.031125791
7.48,-0.032308629
7.54,-0.033527511
7.6,-0.034783295
7.66,-0.03607686
7.72,-0.037409105
7.78,-0.038780947
7.84,-0.040193326
7.9,-0.041647202
7.96,-0.04314356
8.02,-0.044683405
8.08,-0.046267766
