Freq [GHz],S11_0.5mm,S11_1mm,S11_1.5mm,S11_2mm,S11_2.5mm,S11_3mm,Phase_0.5mm,Phase_1mm,Phase_1.5mm,Phase_2mm,Phase_2.5mm,Phase_3mm
1,-0.000738522,-0.000749877,-0.000741318,-0.000741335,-0.000726866,-0.000740578,-0.033427791,-0.033551863,-0.033356213,-0.033398252,-0.033317013,-0.0334719
1.0475,-0.000778277,-0.000823456,-0.000750088,-0.000698494,-0.000781021,-0.000803261,-0.035018907,-0.03514751,-0.034942739,-0.035016258,-0.034902714,-0.035064485
1.095,-0.000819848,-0.00089966,-0.000760222,-0.000667323,-0.000837566,-0.000868531,-0.036610485,-0.036743453,-0.036529611,-0.036633873,-0.036488857,-0.036657451
1.1425,-0.000863234,-0.000978394,-0.000771804,-0.000646496,-0.000896486,-0.000936347,-0.038202548,-0.038339712,-0.038116853,-0.038251154,-0.038075464,-0.038250818
1.19,-0.000908429,-0.001059561,-0.000784917,-0.000634898,-0.000957764,-0.001006666,-0.039795118,-0.039936307,-0.039704493,-0.039868159,-0.039662557,-0.039844606
1.2375,-0.000955431,-0.001143063,-0.000799641,-0.000631585,-0.001021382,-0.001079442,-0.041388216,-0.041533257,-0.041292555,-0.041484947,-0.041250156,-0.041438834
1.285,-0.001004235,-0.001228802,-0.000816051,-0.000635757,-0.001087322,-0.001154631,-0.042981866,-0.043130585,-0.042881068,-0.043101573,-0.042838283,-0.043033524
1.3325,-0.001054839,-0.001316676,-0.00083422,-0.000646729,-0.001155566,-0.001232184,-0.04457609,-0.044728312,-0.044470058,-0.044718092,-0.044426961,-0.044628696
1.38,-0.001107237,-0.001406584,-0.000854214,-0.000663916,-0.001226094,-0.001312055,-0.04617091,-0.046326461,-0.046059554,-0.046334556,-0.046016211,-0.046224371
1.4275,-0.001161426,-0.001498427,-0.0008761,-0.000686815,-0.001298887,-0.001394192,-0.047766349,-0.047925057,-0.047649584,-0.047951015,-0.047606056,-0.04782057
1.475,-0.001217402,-0.001592103,-0.000899937,-0.000714992,-0.001373924,-0.001478547,-0.04936243,-0.049524122,-0.049240177,-0.049567516,-0.049196518,-0.049417315
1.5225,-0.001275161,-0.00168751,-0.000925782,-0.000748071,-0.001451184,-0.001565067,-0.050959176,-0.051123683,-0.050831362,-0.051184106,-0.05078762,-0.051014629
1.57,-0.001334699,-0.00178455,-0.000953688,-0.000785722,-0.001530645,-0.0016537,-0.05255661,-0.052723765,-0.052423169,-0.052800828,-0.052379384,-0.052612534
1.6175,-0.001396011,-0.001883121,-0.000983704,-0.000827661,-0.001612286,-0.001744393,-0.054154756,-0.054324394,-0.054015627,-0.054417723,-0.053971835,-0.054211052
1.665,-0.001459093,-0.001983126,-0.001015876,-0.000873637,-0.001696084,-0.001837092,-0.055753638,-0.055925599,-0.055608767,-0.056034831,-0.055564994,-0.055810208
1.7125,-0.001523941,-0.002084467,-0.001050245,-0.000923429,-0.001782016,-0.001931743,-0.057353279,-0.057527405,-0.057202618,-0.057652192,-0.057158886,-0.057410024
1.76,-0.001590552,-0.002187049,-0.001086852,-0.000976842,-0.001870058,-0.002028289,-0.058953703,-0.059129844,-0.058797212,-0.05926984,-0.058753535,-0.059010526
1.8075,-0.00165892,-0.002290777,-0.001125731,-0.001033704,-0.001960187,-0.002126675,-0.060554934,-0.060732943,-0.060392579,-0.060887812,-0.060348965,-0.060611738
1.855,-0.001729043,-0.00239556,-0.001166915,-0.001093861,-0.002052378,-0.002226845,-0.062156998,-0.062336734,-0.06198875,-0.062506143,-0.061945199,-0.062213684
1.9025,-0.001800915,-0.002501307,-0.001210435,-0.001157177,-0.002146607,-0.002328742,-0.063759918,-0.063941247,-0.063585755,-0.064124865,-0.063542263,-0.063816391
1.95,-0.001874533,-0.002607933,-0.001256317,-0.001223529,-0.002242847,-0.002432309,-0.06536372,-0.065546513,-0.065183627,-0.06574401,-0.065140182,-0.065419884
1.9975,-0.001949892,-0.00271535,-0.001304586,-0.001292808,-0.002341074,-0.00253749,-0.066968429,-0.067152566,-0.066782395,-0.067363611,-0.06673898,-0.067024189
2.045,-0.00202699,-0.002823479,-0.001355265,-0.001364915,-0.002441261,-0.002644226,-0.068574069,-0.068759438,-0.068382092,-0.068983697,-0.068338683,-0.068629335
2.0925,-0.002105822,-0.00293224,-0.001408373,-0.001439761,-0.002543382,-0.002752461,-0.070180668,-0.070367163,-0.069982748,-0.070604298,-0.069939317,-0.070235347
2.14,-0.002186384,-0.003041558,-0.00146393,-0.001517265,-0.00264741,-0.002862137,-0.071788249,-0.071975774,-0.071584396,-0.072225445,-0.071540908,-0.071842255
2.1875,-0.002268674,-0.00315136,-0.001521952,-0.001597356,-0.002753319,-0.002973197,-0.073396841,-0.073585309,-0.073187066,-0.073847165,-0.073143483,-0.073450087
2.235,-0.002352687,-0.003261578,-0.001582454,-0.001679965,-0.00286108,-0.003085585,-0.075006468,-0.075195801,-0.074790792,-0.075469487,-0.074747068,-0.075058871
2.2825,-0.002438421,-0.003372147,-0.00164545,-0.001765034,-0.002970668,-0.003199245,-0.076617158,-0.076807287,-0.076395603,-0.07709244,-0.076351689,-0.076668637
