S11(dB),Phase (rad),label
0.1,0.2,1
0.102743142,0.209364548,1
0.105486284,0.218729097,1
0.108229426,0.228093645,1
0.110972569,0.237458194,1
0.113715711,0.246822742,1
0.116458853,0.256187291,1
0.119201995,0.265551839,1
0.121945137,0.274916388,1
0.124688279,0.284280936,1
0.127431421,0.293645485,1
0.130174564,0.303010033,1
0.132917706,0.312374582,1
0.135660848,0.32173913,1
0.13840399,0.331103679,1
0.141147132,0.340468227,1
0.143890274,0.349832776,1
0.146633416,0.359197324,1
0.149376559,0.368561873,1
0.152119701,0.377926421,1
0.154862843,0.38729097,1
0.157605985,0.396655518,1
0.160349127,0.406020067,1
0.163092269,0.415384615,1
0.165835411,0.424749164,1
0.168578554,0.434113712,1
0.171321696,0.443478261,1
0.174064838,0.452842809,1
0.17680798,0.462207358,1
0.179551122,0.471571906,1
0.182294264,0.480936455,1
0.185037406,0.490301003,1
0.187780549,0.499665552,1
0.190523691,0.5090301,1
0.193266833,0.518394649,1
0.196009975,0.527759197,1
0.198753117,0.537123746,1
0.201496259,0.546488294,1
0.204239401,0.555852843,1
0.206982544,0.565217391,1
0.209725686,0.57458194,1
0.212468828,0.583946488,1
0.21521197,0.593311037,1
0.217955112,0.602675585,1
0.220698254,0.612040134,1
0.223441397,0.621404682,1
0.226184539,0.630769231,1
0.228927681,0.640133779,1
0.231670823,0.649498328,1
0.234413965,0.658862876,1
0.237157107,0.668227425,1
0.239900249,0.677591973,1
0.242643392,0.686956522,1
0.245386534,0.69632107,1
0.248129676,0.705685619,1
0.250872818,0.715050167,1
0.25361596,0.724414716,1
0.256359102,0.733779264,1
0.259102244,0.743143813,1
0.261845387,0.752508361,1
0.264588529,0.76187291,1
0.267331671,0.771237458,1
0.270074813,0.780602007,1
0.272817955,0.789966555,1
0.275561097,0.799331104,1
0.278304239,0.808695652,1
0.281047382,0.818060201,1
0.283790524,0.827424749,1
0.286533666,0.836789298,1
0.289276808,0.846153846,1
0.29201995,0.855518395,1
0.294763092,0.864882943,1
0.297506234,0.874247492,1
0.300249377,0.88361204,1
0.302992519,0.892976589,1
0.305735661,0.902341137,1
