"tumor_rad [mm]","Freq [GHz]","dB(St(pin_T1,pin_T1)) []"
0.5,1,-0.000653407369388556
0.5,1.0475,-0.00080193638874131
0.5,1.095,-0.000948444968018535
0.5,1.1425,-0.00109263321347589
0.5,1.19,-0.00123426352188006
0.5,1.2375,-0.00137315450274717
0.5,1.285,-0.00150917495453556
0.5,1.3325,-0.00164223803535694
0.5,1.38,-0.00177229572987683
0.5,1.4275,-0.00189933368094874
0.5,1.475,-0.00202336642745897
0.5,1.5225,-0.00214443306812065
0.5,1.57,-0.00226259335425572
0.5,1.6175,-0.00237792420209263
0.5,1.665,-0.0024905166062849
0.5,1.7125,-0.00260047293016333
0.5,1.76,-0.00270790454490694
0.5,1.8075,-0.00281292978766507
0.5,1.855,-0.00291567220840952
0.5,1.9025,-0.00301625907571589
0.5,1.95,-0.00311482011295847
0.5,1.9975,-0.0032114864380526
0.5,2.045,-0.00330638968187919
0.5,2.0925,-0.00339966126262313
0.5,2.14,-0.00349143179540859
0.5,2.1875,-0.0035818306186362
0.5,2.235,-0.00367098542065282
0.5,2.2825,-0.00375902195197532
0.5,2.33,-0.0038460638103059
0.5,2.3775,-0.00393223228706402
0.5,2.425,-0.00401764626554266
0.5,2.4725,-0.00410242216225279
0.5,2.52,-0.00418667390405712
0.5,2.5675,-0.00427051293477292
0.5,2.615,-0.00435404824579961
0.5,2.6625,-0.00443738642612489
0.5,2.71,-0.00452063172784738
0.5,2.7575,-0.0046038861437492
0.5,2.805,-0.00468724949421286
0.5,2.8525,-0.00477081952102259
0.5,2.9,-0.00485469198616845
0.5,2.9475,-0.00493896077394778
0.5,2.995,-0.00502371799496913
0.5,3.0425,-0.00510905409105016
0.5,3.09,-0.00519505794002843
0.5,3.1375,-0.00528181695975628
0.5,3.185,-0.00536941721073219
0.5,3.2325,-0.00545794349689434
0.5,3.28,-0.00554747946422788
0.5,3.3275,-0.00563810769696229
0.5,3.375,-0.00572990981108675
0.5,3.4225,-0.00582296654519354
0.5,3.47,-0.00591735784843914
0.5,3.5175,-0.00601316296572184
0.5,3.565,-0.00611046051995737
0.5,3.6125,-0.00620932859160168
0.5,3.66,-0.00630984479539963
0.5,3.7075,-0.00641208635445603
0.5,3.755,-0.00651613017171185
0.5,3.8025,-0.00662205289894926
0.5,3.85,-0.00672993100338326
0.5,3.8975,-0.00683984083200212
0.5,3.945,-0.00695185867372232
0.5,3.9925,-0.00706606081950768
0.5,4.04,-0.00718252362057239
0.5,4.0875,-0.00730132354476756
0.5,4.135,-0.00742253723125857
0.5,4.1825,-0.00754624154365362
0.5,4.23,-0.0076725136216512
0.5,4.2775,-0.00780143093134387
0.5,4.325,-0.00793307131427127
0.5,4.3725,-0.0080675130353277
0.5,4.42,-0.00820483482966772
0.5,4.4675,-0.00834511594864648
0.5,4.515,-0.00848843620490353
0.5,4.5625,-0.00863487601677278
0.5,4.61,-0.00878451645196504
0.5,4.6575,-0.00893743927071756
0.5,4.705,-0.00909372696846521
0.5,4.7525,-0.00925346281811094
0.5,4.8,-0.00941673091198208
0.5,4.8475,-0.00958361620353562
0.5,4.895,-0.009754204548906
0.5,4.9425,-0.00992858274838946
0.5,4.99,-0.0101068385878533
0.5,5.0375,-0.0102890608802615
0.5,5.085,-0.0104753395072594
0.5,5.1325,-0.010665765460983
0.5,5.18,-0.010860430886126
0.5,5.2275,-0.0110594291222597
0.5,5.275,-0.0112628547466168
0.5,5.3225,-0.0114708036172445
0.5,5.37,-0.0116833729166857
0.5,5.4175,-0.0119006611962157
0.5,5.465,-0.0121227684206892
0.5,5.5125,-0.0123497960140813
0.5,5.56,-0.0125818469057454
0.5,5.6075,-0.012819025577472
0.5,5.655,-0.0130614381113899
0.5,5.7025,-0.0133091922387963
0.5,5.75,-0.0135623973899269
0.5,5.7975,-0.0138211647447741
0.5,5.845,-0.0140856072849683
0.5,5.8925,-0.0143558398468063
0.5,5.94,-0.0146319791755059
0.5,5.9875,-0.0149141439806591
0.5,6.035,-0.0152024549930738
0.5,6.0825,-0.0154970350229447
0.5,6.13,-0.0157980090195058
0.5,6.1775,-0.0161055041321523
0.5,6.225,-0.0164196497731532
0.5,6.2725,-0.0167405776820072
0.5,6.32,-0.0170684219914653
0.5,6.3675,-0.0174033192953436
0.5,6.415,-0.0177454087181918
0.5,6.4625,-0.0180948319868204
0.5,6.51,-0.018451733503843
0.5,6.5575,-0.0188162604232602
0.5,6.605,-0.0191885627281748
0.5,6.6525,-0.0195687933107053
0.5,6.7,-0.0199571080541926
0.5,6.7475,-0.0203536659177611
0.5,6.795,-0.0207586290233519
0.5,6.8425,-0.0211721627452654
0.5,6.89,-0.0215944358023413
0.5,6.9375,-0.0220256203528708
0.5,6.985,-0.0224658920922765
0.5,7.0325,-0.0229154303537498
0.5,7.08,-0.0233744182118439
0.5,7.1275,-0.0238430425892302
0.5,7.175,-0.024321494366593
0.5,7.2225,-0.0248099684959363
0.5,7.27,-0.0253086641172452
0.5,7.3175,-0.0258177846787603
0.5,7.365,-0.0263375380608729
0.5,7.4125,-0.0268681367038528
0.5,7.46,-0.0274097977394809
0.5,7.5075,-0.0279627431267167
0.5,7.555,-0.0285271997916034
0.5,7.6025,-0.0291033997714471
0.5,7.65,-0.0296915803635147
0.5,7.6975,-0.0302919842783331
0.5,7.745,-0.0309048597977679
0.5,7.7925,-0.0315304609380559
0.5,7.84,-0.032169047617931
0.5,7.8875,-0.0328208858320306
0.5,7.935,-0.0334862478297542
0.5,7.9825,-0.0341654122997595
0.5,8.03,-0.0348586645602883
0.5,8.0775,-0.0355662967555051
0.5,8.125,-0.0362886080580566
0.5,8.1725,-0.0370259048780797
0.5,8.22,-0.0377785010788505
0.5,8.2675,-0.0385467181992922
0.5,8.315,-0.0393308856836132
0.5,8.3625,-0.0401313411182626
0.5,8.41,-0.0409484304765026
0.5,8.4575,-0.0417825083708079
0.5,8.505,-0.0426339383133894
0.5,8.5525,-0.0435030929850928
0.5,8.6,-0.0443903545129858
0.5,8.6475,-0.0452961147569001
0.5,8.695,-0.0462207756052328
0.5,8.7425,-0.0471647492803386
